resultId,raceId,driverId,fastestLap,fastestLapTime
1607,94,43,29,01:19.1
1608,94,45,27,01:19.9
1609,94,31,28,01:18.3
1610,94,32,18,01:19.1
1611,94,44,10,01:19.2
1612,94,2,25,01:19.0
1613,94,46,3,01:22.3
1614,94,47,8,01:23.4
1615,95,15,22,01:14.9
1616,95,18,40,01:15.2
1617,95,22,16,01:15.8
1618,95,31,41,01:15.4
1619,95,13,23,01:17.2
1620,95,43,22,01:16.2
1621,95,2,35,01:18.3
1622,95,44,57,01:16.5
1623,95,47,2,01:21.9
1624,95,23,18,01:17.6
1625,95,30,23,01:14.4
1626,95,4,23,01:15.2
1627,95,8,15,01:16.2
1628,95,46,10,01:21.6
1629,95,45,10,01:19.4
1630,95,17,11,01:17.5
1631,95,11,2,01:21.4
1632,95,14,2,01:20.6
1633,95,21,2,01:20.8
1635,96,30,7,01:29.5
1636,96,22,14,01:30.1
1637,96,18,13,01:30.5
1638,96,15,30,01:31.1
1639,96,4,29,01:31.1
1640,96,21,23,01:31.4
1641,96,17,37,01:31.9
1642,96,31,43,01:31.4
1643,96,13,37,01:32.7
1644,96,2,55,01:32.1
1645,96,44,12,01:32.5
1646,96,32,14,01:32.8
1647,96,45,27,01:32.8
1648,96,46,7,01:35.6
1649,96,47,46,01:34.7
1650,96,11,11,01:30.0
1651,96,14,14,01:32.3
1652,96,8,2,01:31.7
1655,97,30,18,01:13.6
1656,97,22,68,01:13.6
1657,97,18,68,01:14.2
1658,97,21,47,01:15.1
1659,97,8,44,01:14.8
1660,97,14,55,01:15.5
1661,97,10,42,01:16.3
1662,97,2,18,01:15.9
1663,97,32,45,01:15.7
1664,97,47,64,01:17.5
1665,97,13,25,01:15.6
1666,97,11,25,01:15.1
1667,97,4,41,01:14.2
1668,97,46,25,01:18.0
1669,97,17,6,01:16.7
1671,97,23,70,01:14.0
1672,97,31,69,01:14.3
1673,97,43,39,01:15.7
1674,97,44,23,01:16.0
1675,98,30,8,01:10.4
1676,98,22,7,01:10.4
1677,98,11,47,01:10.7
1678,98,15,45,01:11.2
1679,98,44,46,01:10.9
1680,98,8,59,01:11.2
1681,98,14,44,01:12.2
1682,98,47,39,01:14.1
1683,98,21,44,01:12.1
1684,98,17,46,01:12.1
1685,98,31,37,01:11.3
1686,98,2,37,01:13.1
1687,98,18,22,01:11.0
1688,98,43,8,01:12.9
1689,98,23,8,01:12.0
1690,98,4,8,01:11.2
1695,99,30,32,01:15.4
1696,99,4,34,01:15.6
1697,99,22,50,01:16.0
1698,99,15,15,01:16.2
1699,99,18,50,01:16.0
1700,99,14,11,01:16.3
1701,99,8,30,01:15.8
1702,99,31,48,01:16.1
1703,99,17,53,01:16.0
1704,99,48,56,01:16.1
1705,99,32,37,01:16.9
1706,99,21,22,01:16.7
1707,99,13,23,01:17.4
1708,99,43,49,01:16.9
1709,99,44,53,01:17.1
1710,99,2,26,01:18.6
1711,99,45,15,01:17.6
1712,99,46,52,01:18.9
1713,99,47,13,01:19.7
1714,99,11,14,01:16.8
1715,100,30,14,01:18.7
1716,100,8,10,01:19.6
1717,100,22,8,01:19.3
1718,100,18,10,01:19.5
1719,100,31,26,01:20.0
1720,100,21,22,01:19.8
1721,100,14,25,01:20.5
1722,100,17,11,01:20.8
1723,100,13,58,01:20.5
1724,100,4,39,01:20.4
1725,100,11,12,01:20.8
1726,100,48,58,01:20.4
1727,100,43,35,01:20.8
1728,100,32,10,01:21.0
1729,100,2,17,01:21.7
1730,100,46,33,01:24.3
1731,100,45,13,01:22.1
1732,100,15,34,01:20.7
1733,100,47,12,01:24.3
1734,100,44,4,01:23.1
1735,101,30,5,01:13.8
1736,101,18,11,01:14.1
1737,101,4,8,01:14.3
